tridt"isTransport"tcidtectaccessiontname
138t28699t"true"t4151t('nan',)tCHEBI:29035tMn(2+)
140t28703t"true"t4720t('nan',)tCHEBI:29036tCu(2+)
142t28707t"true"t3309t('nan',)tCHEBI:48775tCd(2+)
144t28711t"true"t3249t('nan',)tCHEBI:15378tH(+)
145t28711t"true"t6536t('nan',)tCHEBI:60903t"N-(4-aminobenzoyl)-L-glutamate"
148t28715t"true"t1917t('nan',)tCHEBI:15588t"(R)-malate"
149t28715t"true"t3249t('nan',)tCHEBI:15378tH(+)
152t28719t"true"t4174t('nan',)tCHEBI:16708tadenine
153t28719t"true"t3249t('nan',)tCHEBI:15378tH(+)
156t28723t"true"t2545t('nan',)tCHEBI:15678t"(S)-allantoin"
157t28723t"true"t3249t('nan',)tCHEBI:15378tH(+)
160t28727t"true"t4720t('nan',)tCHEBI:29036tCu(2+)
161t28727t"true"t3249t('nan',)tCHEBI:15378tH(+)
164t28731t"true"t3249t('nan',)tCHEBI:15378tH(+)
165t28731t"true"t5115t('nan',)tCHEBI:57427tL-leucine
168t28735t"true"t3249t('nan',)tCHEBI:15378tH(+)
169t28735t"true"t2557t('nan',)tCHEBI:57834tspermidine
172t28739t"true"t3309t('nan',)tCHEBI:48775tCd(2+)
173t28739t"true"t3249t('nan',)tCHEBI:15378tH(+)
176t28743t"true"t5436t('nan',)tCHEBI:17632t"nitrate"
177t28743t"true"t6016t('nan',)tCHEBI:16301t"nitrite"
180t28747t"true"t1012t('nan',)tCHEBI:28938tNH4(+)
182t28811t"true"t5509t('nan',)tCHEBI:57441t"2,3-dioxo-L-gulonate"
183t28811t"true"t2426t('nan',)tCHEBI:29101tNa(+)
186t28815t"true"t3662t('nan',)tCHEBI:17879t"4-hydroxybenzoate"
187t28815t"true"t3249t('nan',)tCHEBI:15378tH(+)
190t28819t"true"t3903t('nan',)tCHEBI:58143t"5-dehydro-D-gluconate"
191t28819t"true"t3249t('nan',)tCHEBI:15378tH(+)
194t28823t"true"t3249t('nan',)tCHEBI:15378tH(+)
195t28823t"true"t6094t('nan',)tCHEBI:53071t"L-galactonate"
198t28827t"true"t1826t('nan',)tCHEBI:46911t"L-ornithine"
199t28827t"true"t4665t('nan',)tCHEBI:326268t"putrescine"
202t28831t"true"t2952t('nan',)tCHEBI:18391t"D-gluconate"
203t28831t"true"t3249t('nan',)tCHEBI:15378tH(+)
206t28835t"true"t5244t('nan',)tCHEBI:16947t"citrate"
207t28835t"true"t2501t('nan',)tCHEBI:30031t"succinate"
210t28839t"true"t3249t('nan',)tCHEBI:15378tH(+)
211t28839t"true"t1073t('nan',)tCHEBI:29105tZn(2+)
214t28843t"true"t3723t('nan',)tCHEBI:15354tcholine
215t28843t"true"t3249t('nan',)tCHEBI:15378tH(+)
218t28847t"true"t6552t('nan',)tCHEBI:49713tLi(+)
219t28847t"true"t6520t('nan',)tCHEBI:28053tmelibiose
222t28851t"true"t6520t('nan',)tCHEBI:28053tmelibiose
223t28851t"true"t2426t('nan',)tCHEBI:29101tNa(+)
226t28855t"true"t3249t('nan',)tCHEBI:15378tH(+)
227t28855t"true"t6520t('nan',)tCHEBI:28053tmelibiose
230t28859t"true"t4602t('nan',)tCHEBI:49468tAg(+)
231t28859t"true"t3249t('nan',)tCHEBI:15378tH(+)
234t28863t"true"t3249t('nan',)tCHEBI:15378tH(+)
235t28863t"true"t3030t('nan',)tCHEBI:17716t"lactose"
238t28867t"true"t3249t('nan',)tCHEBI:15378tH(+)
239t28867t"true"t3030t('nan',)tCHEBI:17716t"lactose"
242t28871t"true"t6172t('nan',)tCHEBI:59863t"D-fructuronate"
243t28871t"true"t3249t('nan',)tCHEBI:15378tH(+)
246t28875t"true"t3249t('nan',)tCHEBI:15378tH(+)
247t28875t"true"t1046t('nan',)tCHEBI:58315t"L-tyrosine"
250t28879t"true"t3249t('nan',)tCHEBI:15378tH(+)
251t28879t"true"t4647t('nan',)tCHEBI:57912t"L-tryptophan"
254t28883t"true"t3249t('nan',)tCHEBI:15378tH(+)
255t28883t"true"t3255t('nan',)tCHEBI:57926t"L-threonine"
258t28887t"true"t3249t('nan',)tCHEBI:15378tH(+)
259t28887t"true"t4901t('nan',)tCHEBI:33384tL-serine
262t28891t"true"t3249t('nan',)tCHEBI:15378tH(+)
263t28891t"true"t4665t('nan',)tCHEBI:326268t"putrescine"
266t28895t"true"t4631t('nan',)tCHEBI:58384tcadaverine
267t28895t"true"t3235t('nan',)tCHEBI:32551tL-lysine
270t28899t"true"t4570t('nan',)tCHEBI:57305tglycine
271t28899t"true"t3249t('nan',)tCHEBI:15378tH(+)
274t28903t"true"t4985t('nan',)tCHEBI:57416tD-alanine
275t28903t"true"t3249t('nan',)tCHEBI:15378tH(+)
278t28907t"true"t5320t('nan',)tCHEBI:57277t"3-(3-hydroxyphenyl)propanoate"
279t28907t"true"t3249t('nan',)tCHEBI:15378tH(+)
282t28911t"true"t3249t('nan',)tCHEBI:15378tH(+)
283t28911t"true"t3235t('nan',)tCHEBI:32551tL-lysine
286t28915t"true"t6180t('nan',)tCHEBI:59888t"4-aminobutanoate"
287t28915t"true"t3249t('nan',)tCHEBI:15378tH(+)
290t28919t"true"t6180t('nan',)tCHEBI:59888t"4-aminobutanoate"
291t28919t"true"t2079t('nan',)tCHEBI:29985t"L-glutamate"
294t28923t"true"t3249t('nan',)tCHEBI:15378tH(+)
295t28923t"true"t4845t('nan',)tCHEBI:58095tL-phenylalanine
298t28939t"true"t3249t('nan',)tCHEBI:15378tH(+)
299t28939t"true"t3267t('nan',)tCHEBI:18107t"xanthosine"
302t28943t"true"t5292t('nan',)tCHEBI:17750t"glycine betaine"
304t28947t"true"t3249t('nan',)tCHEBI:15378tH(+)
305t28947t"true"t5487t('nan',)tCHEBI:17535tL-arabinose
308t28951t"true"t3249t('nan',)tCHEBI:15378tH(+)
309t28951t"true"t5487t('nan',)tCHEBI:17535tL-arabinose
312t28955t"true"t15191t('nan',)tCHEBI:142686t"aldehydo-D-glucuronate"
313t28955t"true"t3249t('nan',)tCHEBI:15378tH(+)
316t28959t"true"t6132t('nan',)tCHEBI:53455tD-xylose
317t28959t"true"t3249t('nan',)tCHEBI:15378tH(+)
320t28963t"true"t3249t('nan',)tCHEBI:15378tH(+)
321t28963t"true"t2793t('nan',)tCHEBI:60039tL-proline
324t28967t"true"t2793t('nan',)tCHEBI:60039tL-proline
325t28967t"true"t2426t('nan',)tCHEBI:29101tNa(+)
328t28971t"true"t3249t('nan',)tCHEBI:15378tH(+)
329t28971t"true"t3258t('nan',)tCHEBI:36208t"shikimate"
332t28975t"true"t3249t('nan',)tCHEBI:15378tH(+)
333t28975t"true"t1960t('nan',)tCHEBI:58048tL-asparagine
336t28979t"true"t3249t('nan',)tCHEBI:15378tH(+)
337t28979t"true"t6016t('nan',)tCHEBI:16301t"nitrite"
340t28983t"true"t6016t('nan',)tCHEBI:16301t"nitrite"
342t28987t"true"t3249t('nan',)tCHEBI:15378tH(+)
343t28987t"true"t1980t('nan',)tCHEBI:35418t"N-acetylneuraminate"
346t28991t"true"t1980t('nan',)tCHEBI:35418t"N-acetylneuraminate"
348t28995t"true"t3249t('nan',)tCHEBI:15378tH(+)
349t28995t"true"t3255t('nan',)tCHEBI:57926t"L-threonine"
352t28999t"true"t3249t('nan',)tCHEBI:15378tH(+)
353t28999t"true"t3660t('nan',)tCHEBI:58093t"homoserine lactone"
356t29003t"true"t3249t('nan',)tCHEBI:15378tH(+)
357t29003t"true"t3016t('nan',)tCHEBI:57476tL-homoserine
360t29007t"true"t3249t('nan',)tCHEBI:15378tH(+)
361t29007t"true"t4151t('nan',)tCHEBI:29035tMn(2+)
364t29011t"true"t2975t('nan',)tCHEBI:16810t"2-oxoglutarate"
365t29011t"true"t3249t('nan',)tCHEBI:15378tH(+)
368t29015t"true"t5518t('nan',)tCHEBI:43474t"phosphate"
369t29015t"true"t4431t('nan',)tCHEBI:57597t"sn-glycerol 3-phosphate"
372t29019t"true"t5513t('nan',)tCHEBI:4139t"D-galactose"
373t29019t"true"t3249t('nan',)tCHEBI:15378tH(+)
376t29023t"true"t3249t('nan',)tCHEBI:15378tH(+)
377t29023t"true"t5593t('nan',)tCHEBI:2181tL-fucose
380t29027t"true"t2079t('nan',)tCHEBI:29985t"L-glutamate"
381t29027t"true"t3249t('nan',)tCHEBI:15378tH(+)
384t29031t"true"t2079t('nan',)tCHEBI:29985t"L-glutamate"
385t29031t"true"t2426t('nan',)tCHEBI:29101tNa(+)
388t29035t"true"t2079t('nan',)tCHEBI:29985t"L-glutamate"
390t29039t"true"t2047t('nan',)tCHEBI:29991t"L-aspartate"
392t29047t"true"t3249t('nan',)tCHEBI:15378tH(+)
394t29051t"true"t3249t('nan',)tCHEBI:15378tH(+)
396t29055t"true"t3249t('nan',)tCHEBI:15378tH(+)
398t29059t"true"t3249t('nan',)tCHEBI:15378tH(+)
400t29075t"true"t3001t('nan',)tCHEBI:15740t"formate"
401t29075t"true"t3249t('nan',)tCHEBI:15378tH(+)
402t29075t"true"t4391t('nan',)tCHEBI:16526tCO2
404t29091t"true"t3249t('7.1.1.2',)tCHEBI:15378tH(+)
406t29095t"true"t3249t('nan',)tCHEBI:15378tH(+)
408t29099t"true"t3249t('nan',)tCHEBI:15378tH(+)
410t29103t"true"t3249t('nan',)tCHEBI:15378tH(+)
412t29123t"true"t5436t('nan',)tCHEBI:17632t"nitrate"
413t29123t"true"t6533t('nan',)tCHEBI:61682tubiquinol-8
414t29123t"true"t1283t('nan',)tCHEBI:15377tH2O
