tbiggtIDtrheataccession
2thtMNXM1tchebi:15378tCHEBI:15378
3thtMNXM1tchebi:24636tCHEBI:24636
4thtMNXM1tchebi:29233tCHEBI:29233
5thtMNXM1tchebi:29234tCHEBI:29234
6tnadhtMNXM10tchebi:16908tCHEBI:16908
7tnadhtMNXM10tchebi:57945tCHEBI:57945
25t"abt__D"tMNXM1018tchebi:18333tCHEBI:18333
26t"dtbt"tMNXM1020tchebi:149473tCHEBI:149473
27t"dtbt"tMNXM1020tchebi:16691tCHEBI:16691
28t"dtbt"tMNXM1020tchebi:42280tCHEBI:42280
29t"dtbt"tMNXM1020tchebi:57861tCHEBI:57861
30t"glutar"tMNXM1021tchebi:17859tCHEBI:17859
31t"glutar"tMNXM1021tchebi:24329tCHEBI:24329
32t"glutar"tMNXM1021tchebi:30921tCHEBI:30921
33t"glutar"tMNXM1021tchebi:35907tCHEBI:35907
43t"5g2oxpt"tMNXM1037tchebi:18253tCHEBI:18253
44t"5g2oxpt"tMNXM1037tchebi:28116tCHEBI:28116
45t"5g2oxpt"tMNXM1037tchebi:58489tCHEBI:58489
48tdcatMNXM1043tchebi:27689tCHEBI:27689
49tdcatMNXM1043tchebi:30813tCHEBI:30813
64tno2tMNXM107tchebi:16301tCHEBI:16301
65tno2tMNXM107tchebi:25567tCHEBI:25567
73t4hbatMNXM107505tchebi:67410tCHEBI:67410
77thdcatMNXM108tchebi:15756tCHEBI:15756
78thdcatMNXM108tchebi:168544tCHEBI:168544
79thdcatMNXM108tchebi:7896tCHEBI:7896
323t2h3mbtMNXM1091697tt
324t2h3mptMNXM1091698tt
334t"2m35mdntha"tMNXM1091709tt
339t2mbatMNXM1091714tt
345t2mpatMNXM1091720tt
373t"35dnta"tMNXM1091744tt
385t"3h4atb"tMNXM1091756tt
482t3mbatMNXM1091853tt
579t4abzglutMNXM1091950tt
586t4hpro_DCtMNXM1091957tt
588t"4hptn"tMNXM1091959tt
602t"4oxptn"tMNXM1091974tt
630t"6atha"tMNXM1091995tt
1070tR3hdec4etMNXM1092430tt
1073t"R_3h4atba"tMNXM1092433tt
1075t"R_3h6atha"tMNXM1092435tt
1077tR_3hcmrs7etMNXM1092437tt
1078tR_3hdcaatMNXM1092438tt
1079tR_3hdd5eatMNXM1092439tt
1081tR_3hdd6etMNXM1092441tt
1082tR_3hddatMNXM1092442tt
1083tR_3hhdcatMNXM1092443tt
1085tR_3hhpatMNXM1092445tt
1087tR_3hhxatMNXM1092447tt
1088tR_3hnonaatMNXM1092448tt
1090t"R_3hocta"tMNXM1092450tt
1091tR_3hpbatMNXM1092451tt
1093tR_3hpdecatMNXM1092453tt
1095tR_3hphpatMNXM1092455tt
1097tR_3hphxatMNXM1092457tt
1099tR_3hpnonatMNXM1092459tt
1101t"R_3hpocta"tMNXM1092461tt
1103t"R_3hppta"tMNXM1092463tt
1105t"R_3hpt"tMNXM1092465tt
1108t"R_3htd58e"tMNXM1092468tt
1110t"R_3htd5e"tMNXM1092470tt
1111t"R_3httdca"tMNXM1092471tt
1137tabg4tMNXM1092497tt
1162tacon_CtMNXM1092518tchebi:16383tCHEBI:16383
1163tacon_CtMNXM1092518tchebi:32805tCHEBI:32805
1180t"ala_L_thr__L"tMNXM1092536tt
1181tala_glntMNXM1092537tt
1182tala_histMNXM1092538tt
1183tala_leutMNXM1092539tt
1184talaglytMNXM1092540tt
1185talahistMNXM1092541tt
1186talaleutMNXM1092542tt
1187t"alathr"tMNXM1092543tt
1188t"alatrp"tMNXM1092544tt
1190talgac_MG_14tMNXM1092546tt
1191talgac_MG_23tMNXM1092547tt
1192talgac_MG_32tMNXM1092548tt
1193talgac_MG_41tMNXM1092549tt
1194talgac__MtMNXM1092550tt
1226tasn__DtMNXM1092583tt
1234tbalaalatMNXM1092591tt
1235tbalabalatMNXM1092592tt
1236tbalaglytMNXM1092593tt
1237tbalaleutMNXM1092594tt
1238tbalamdtMNXM1092595tt
1374tcresoltMNXM1092731tt
1401tdachitMNXM1092758tt
1503t"dgudbutn"tMNXM1092860tt
1536tdmanurtMNXM1092893tt
1539tdmso2tMNXM1092896tt
1609t"fbac_kt"tMNXM1092967tt
1613t"fe3mcbtt"tMNXM1092971tt
1615t"fe3pyovd_kt"tMNXM1092973tt
1663tgdpmanurtMNXM1093020tt
1703tgly_cystMNXM1093058tt
1704tgly_glntMNXM1093059tt
1705tgly_leutMNXM1093060tt
1706t"gly_met"tMNXM1093061tt
1707tgly_phetMNXM1093062tt
1708t"gly_tyr"tMNXM1093063tt
1710tglycoltMNXM1093065tt
1712tglyglntMNXM1093067tt
1713tglyglutMNXM1093068tt
1714tglyglyglntMNXM1093069tt
1715t"glymet"tMNXM1093070tt
1716tglysertMNXM1093071tt
1726t"gudptn"tMNXM1093081tt
1816thiatMNXM1093172tt
1824thisglytMNXM1093180tt
1825thishistMNXM1093181tt
1847t"hpta"tMNXM1093203tt
1864t"ibtol"tMNXM1093220tt
1884tisocaptMNXM1093241tt
1900t"istfrnA"tMNXM1093257tt
1901t"istfrnB"tMNXM1093258tt
1914tleu__DtMNXM1093272tt
1963tlysgluglytMNXM1093318tt
1968t"m2but"tMNXM1093323tt
1975tm4potMNXM1093330tt
1993t"malthx"tMNXM1093344tchebi:143182tCHEBI:143182
1994t"malthx"tMNXM1093344tchebi:61953tCHEBI:61953
1997tmanurtMNXM1093347tt
2005tmepntMNXM1093355tt
2007t"metglcur"tMNXM1093357tt
2141t"octscoa"tMNXM1093484tt
2597tpeatMNXM1093929tt
2633tphe__DtMNXM1093965tt
2634tphedcatMNXM1093966tt
2635tphehpatMNXM1093967tt
2636tphehxatMNXM1093968tt
2637tphenonatMNXM1093969tt
2638t"pheocta"tMNXM1093970tt
2639t"phept"tMNXM1093971tt
2688t"ppat"tMNXM1094019tchebi:16215tCHEBI:16215
2689t"ppat"tMNXM1094019tchebi:33462tCHEBI:33462
2690t"ppat"tMNXM1094019tchebi:44976tCHEBI:44976
2691t"ppt"tMNXM1094019tchebi:16215tCHEBI:16215
2692t"ppt"tMNXM1094019tchebi:33462tCHEBI:33462
2693t"ppt"tMNXM1094019tchebi:44976tCHEBI:44976
2709tprealg_MG_14tMNXM1094035tt
2710tprealg_MG_23tMNXM1094036tt
2711tprealg_MG_32tMNXM1094037tt
2712tprealg_MG_41tMNXM1094038tt
2717t"prealginate_G"tMNXM1094043tt
2718t"prealginate__M"tMNXM1094044tt
2721tprohisglutMNXM1094047tt
2726tppatMNXM1094052tchebi:17272tCHEBI:17272
2727tppatMNXM1094052tchebi:30768tCHEBI:30768
2741tpser__LtMNXM1094062tchebi:15811tCHEBI:15811
2742tpser__LtMNXM1094062tchebi:57524tCHEBI:57524
2743tpsuritMNXM1094063tchebi:17802tCHEBI:17802
2752t"ptsla"tMNXM1094072tt
2758t"pyovd_kt"tMNXM1094078tt
2797tsergluglytMNXM1094117tt
2828t"stfrnB"tMNXM1094149tt
2963t"tgt"tMNXM1094283tt
2968t"tcynt"tMNXM1094288tchebi:18022tCHEBI:18022
2969t"tcynt"tMNXM1094288tchebi:29200tCHEBI:29200
2982t"tsul"tMNXM1094289tchebi:16094tCHEBI:16094
2983t"tsul"tMNXM1094289tchebi:29279tCHEBI:29279
2984t"tsul"tMNXM1094289tchebi:33539tCHEBI:33539
2985t"tsul"tMNXM1094289tchebi:33542tCHEBI:33542
2986t"tsul"tMNXM1094289tchebi:5587tCHEBI:5587
2992t"tma"tMNXM1094294tchebi:18139tCHEBI:18139
2993t"tma"tMNXM1094294tchebi:58389tCHEBI:58389
2994t"tmam"tMNXM1094294tchebi:18139tCHEBI:18139
2995t"tmam"tMNXM1094294tchebi:58389tCHEBI:58389
2996t"tmanur"tMNXM1094295tt
2997t"tnt"tMNXM1094296tchebi:46053tCHEBI:46053
3034t"tyr__D"tMNXM1094332tt
3131tval__DtMNXM1094430tt
3163tppitMNXM11tchebi:18361tCHEBI:18361
3164tppitMNXM11tchebi:29888tCHEBI:29888
3165tppitMNXM11tchebi:33017tCHEBI:33017
3166tppitMNXM11tchebi:33019tCHEBI:33019
3167tppitMNXM11tchebi:45212tCHEBI:45212
3174tudpacgaltMNXM1100890tchebi:16650tCHEBI:16650
3175tudpacgaltMNXM1100890tchebi:57847tCHEBI:57847
3176tudpacgaltMNXM1100890tchebi:67138tCHEBI:67138
3177tudpacgaltMNXM1100890tchebi:67168tCHEBI:67168
3179t"ecto__L"tMNXM1101175tchebi:27592tCHEBI:27592
3180t"ecto__L"tMNXM1101175tchebi:58515tCHEBI:58515
3181t"ecto__L"tMNXM1101175tchebi:63475tCHEBI:63475
